"H","2026/01/04"
"［データ区分］","［伝票日付］","［伝票No］","［取引状態］","［自社コード］","［自社会員名］","［自社担当者］","［取引先コード］","［取引先名］","［納品場所コード］","［納品場所名］","［納品場所 住所］","［マイカタログID］","［自社管理商品コード］","［商品名］","［規格］","［入数］","［入数単位］","［単価］","［数量］","［単位］","［金額］","［消費税］","［小計］","［課税区分］","［税区分］","［合計 商品本体］","［合計 商品消費税］","［合計 送料本体］","［合計 送料消費税］","［合計 その他］","［総合計］","［発注日］","［発送日］","［納品日］","［受領日］","［取引ID_SYSTEM］","［伝票明細ID_SYSTEM］","［発注送信日］","［発注送信時間］","［送信日］","［送信時間］"
"D","2025/12/01","507761","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66177757","","ナフキン","","0.00","未指定","35.00","20.00","枚","700","0","700","","外税","1090","0","0","0","0","1090","","2025/12/01","2025/12/01","2025/12/01","1723239250","1","","","2025/12/02","03:47"
"D","2025/12/01","507761","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66010254","","コックコート","","0.00","未指定","145.00","2.00","枚","290","0","290","","外税","","","","","","","","2025/12/01","2025/12/01","2025/12/01","1723239250","2","","","2025/12/02","03:47"
"D","2025/12/01","507761","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66106851","","カラーエプロン","","0.00","未指定","100.00","1.00","枚","100","0","100","","外税","","","","","","","","2025/12/01","2025/12/01","2025/12/01","1723239250","3","","","2025/12/02","03:47"
"D","2025/12/02","507732","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ＴＡＴＳＵＭＩ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","168967634","","トンマーゾ：イントッソ ［ＥＸＶオリーブオイル］ ５００ｍｌ","500ml","1.00","本","2900.00","2.00","本","5800","0","5800","","外税","5800","0","0","0","0","5800","2025/11/29","2025/12/02","2025/12/02","2025/12/02","1723135833","1","2025/11/29","11:28","2025/12/05","00:42"
"D","2025/12/02","507733","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","94928124","","サッポロ  ラガー  中瓶（赤星）　500ML","500ML×20","20.00","本","288.00","4.00","本","1152","0","1152","","外税","1152","0","0","0","0","1152","2025/11/29","2025/12/02","2025/12/02","2025/12/02","1723135842","1","2025/11/29","11:28","2025/12/05","00:42"
"D","2025/12/02","508338","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","78590934","","フォアグラカナール　（冷凍）","不定貫","1.00","個","6.98","1532.00","g","10693","0","10693","","外税","10693","0","0","0","0","10693","2025/12/02","2025/12/02","2025/12/02","2025/12/02","1724384834","1","2025/12/02","03:47","2025/12/05","00:42"
"D","2025/12/02","508339","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","77593057","","QP　ラピッドマカロン","1kg","0.00","未指定","1840.00","1.00","PC","1840","0","1840","","外税","1840","0","0","0","0","1840","2025/12/02","2025/12/02","2025/12/02","2025/12/02","1724385224","1","2025/12/02","03:57","2025/12/08","03:26"
"D","2025/12/02","508892","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","220407819","","ミエリッツァアカシア　ハチミツ","400ｇ","1.00","本","2040.00","1.00","本","2040","0","2040","","外税","2040","0","0","0","0","2040","","2025/12/02","2025/12/02","2025/12/02","1725490449","1","","","2025/12/05","00:42"
"D","2025/12/04","508606","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150496","","牛乳","１Ｌ　成分無調整","12.00","C/S","245.00","1.00","本","245","0","245","","外税","1411","0","0","0","0","1411","2025/12/03","2025/12/03","2025/12/04","2025/12/04","1724951027","1","2025/12/03","13:44","2025/12/05","00:42"
"D","2025/12/04","508606","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150519","","北海道フレッシュクリーム３８％　１Ｌ","１Ｌ","1.00","本","1166.00","1.00","本","1166","0","1166","","外税","","","","","","","2025/12/03","2025/12/03","2025/12/04","2025/12/04","1724951027","2","2025/12/03","13:44","2025/12/05","00:42"
"D","2025/12/04","508679","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66106851","","カラーエプロン","","0.00","未指定","100.00","1.00","枚","100","0","100","","外税","1335","0","0","0","0","1335","","2025/12/04","2025/12/04","2025/12/04","1725130864","1","","","2025/12/05","00:42"
"D","2025/12/04","508679","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66106856","","ネクタイ","","0.00","未指定","220.00","1.00","本","220","0","220","","外税","","","","","","","","2025/12/04","2025/12/04","2025/12/04","1725130864","2","","","2025/12/05","00:42"
"D","2025/12/04","508679","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66177757","","ナフキン","","0.00","未指定","35.00","29.00","枚","1015","0","1015","","外税","","","","","","","","2025/12/04","2025/12/04","2025/12/04","1725130864","3","","","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596728","","ブロッコリー","","0.00","個","230.00","1.00","個","230","18","248","","外税","5580","444","0","0","0","6024","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","1","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596729","","カリフラワー","","0.00","個","420.00","1.00","個","420","33","453","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","2","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596778","","柿","","0.00","個","150.00","1.00","個","150","12","162","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","3","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597087","","玉子　パック","Lサイズ","0.00","PC","320.00","1.00","PC","320","25","345","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","4","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597028","","クレソン","","0.00","束","180.00","1.00","束","180","14","194","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","5","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597032","","マイクロリーフ","","0.00","PC","300.00","1.00","PC","300","24","324","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","6","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","155474463","","マイクロパースレー","","0.00","PC","550.00","1.00","PC","550","44","594","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","7","2025/12/04","02:28","2025/12/05","00:42"
"D","2025/12/04","508853","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596715","","ズッキーニ","","0.00","本","250.00","1.00","本","250","20","270","","外税","","","","","","","2025/12/04","2025/12/04","2025/12/04","2025/12/04","1725311375","8","2025/12/04","02:28","2025/12/05","00:42"
