"H","2025/11/05"
"［データ区分］","［伝票日付］","［伝票No］","［取引状態］","［自社コード］","［自社会員名］","［自社担当者］","［取引先コード］","［取引先名］","［納品場所コード］","［納品場所名］","［納品場所 住所］","［マイカタログID］","［自社管理商品コード］","［商品名］","［規格］","［入数］","［入数単位］","［単価］","［数量］","［単位］","［金額］","［消費税］","［小計］","［課税区分］","［税区分］","［合計 商品本体］","［合計 商品消費税］","［合計 送料本体］","［合計 送料消費税］","［合計 その他］","［総合計］","［発注日］","［発送日］","［納品日］","［受領日］","［取引ID_SYSTEM］","［伝票明細ID_SYSTEM］","［発注送信日］","［発注送信時間］","［送信日］","［送信時間］"
"D","2025/10/01","494089","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","94928124","","サッポロ  ラガー  中瓶（赤星）　500ML","500ML×20","20.00","本","288.00","4.00","本","1152","0","1152","","外税","3372","0","0","0","0","3372","2025/09/30","2025/10/01","2025/10/01","2025/10/01","1696660859","1","2025/09/30","21:43","2025/10/02","17:26"
"D","2025/10/01","494089","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","65367630","","サンヘﾟレクﾞリノ  瓶  750（新）　750ML","750ML×12","1.00","本","370.00","6.00","本","2220","0","2220","","外税","","","","","","","2025/09/30","2025/10/01","2025/10/01","2025/10/01","1696660859","2","2025/09/30","21:43","2025/10/02","17:26"
"D","2025/10/01","494186","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","65669075","","薄力粉","1kg","1.00","PC","280.00","1.00","PC","280","0","280","","外税","280","0","0","0","0","280","2025/10/01","2025/10/01","2025/10/01","2025/10/01","1696762436","1","2025/10/01","02:31","2025/10/02","17:26"
"D","2025/10/02","494179","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55950123","","活〆鯛　１．４ｋ　３枚卸し","","0.00","未指定","1600.00","1.70","kg","2720","0","2720","","外税","20618","0","0","0","0","20618","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696757685","1","2025/10/01","02:05","2025/10/03","14:44"
"D","2025/10/02","494179","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","144864800","","生骨切りハモ　国産","500ｇ","0.00","未指定","2200.00","1.00","PC","2200","0","2200","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696757685","2","2025/10/01","02:05","2025/10/03","14:44"
"D","2025/10/02","494179","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56863229","","地蛤　50ｇ","","0.00","未指定","2400.00","1.02","kg","2448","0","2448","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696757685","3","2025/10/01","02:05","2025/10/03","14:44"
"D","2025/10/02","494179","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","123998923","","浅利ストレートエキス","1ｋ入","0.00","未指定","450.00","1.00","PC","450","0","450","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696757685","4","2025/10/01","02:05","2025/10/03","14:44"
"D","2025/10/02","494179","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56863232","","オススメ鮮魚情報","太刀魚","0.00","未指定","4000.00","3.20","kg","12800","0","12800","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696757685","5","2025/10/01","02:05","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","77237777","","KURIクリティント（赤ワイン）","3L","1.00","箱","1680.00","1.00","箱","1680","0","1680","","外税","11890","0","0","0","0","11890","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","1","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","90929665","","ジオフーズ　トリュフソース黒","200g","0.00","本","2100.00","1.00","本","2100","0","2100","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","2","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","207016655","","デニオ　ライムパウダー","６０ｇ","1.00","PC","2690.00","1.00","PC","2690","0","2690","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","3","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","91695533","","デニオ　スマック","６０ｇ","1.00","PC","2000.00","1.00","PC","2000","0","2000","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","4","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","112984913","","デニオ　砂漠塩　結晶塩","４５ｇ","1.00","個","2140.00","1.00","個","2140","0","2140","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","5","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494180","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","207531737","","Daeterra社　石臼挽栗粉ローストタイプ","500ｇ","0.00","PC","1280.00","1.00","PC","1280","0","1280","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761848","6","2025/10/01","02:21","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596715","","ズッキーニ","","0.00","本","220.00","1.00","本","220","17","237","","外税","3230","256","0","0","0","3486","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","1","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597028","","クレソン","","0.00","束","180.00","1.00","束","180","14","194","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","2","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596778","","柿","","0.00","個","200.00","3.00","個","600","48","648","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","3","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","134672870","","ピーテンドリル","","0.00","PC","380.00","1.00","PC","380","30","410","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","4","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597020","","セルフィーユ/チャービル","","0.00","PC","320.00","1.00","PC","320","25","345","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","5","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597018","","ディル/ディール","","0.00","PC","280.00","1.00","PC","280","22","302","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","6","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597029","","赤水菜","","0.00","PC","350.00","1.00","PC","350","28","378","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","7","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494181","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597085","","りんご","","0.00","個","180.00","5.00","個","900","72","972","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696761998","8","2025/10/01","02:24","2025/10/03","14:44"
"D","2025/10/02","494182","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","82619577","","プレドボブール　フォンドボー","１ｋｇ","1.00","PC","1260.00","1.00","PC","1260","0","1260","","外税","1610","0","0","0","0","1610","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696762273","1","2025/10/01","02:27","2025/10/03","14:44"
"D","2025/10/02","494182","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","207531736","","カッテージチーズ","","1.00","PC","350.00","1.00","PC","350","0","350","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1696762273","2","2025/10/01","02:27","2025/10/03","14:44"
"D","2025/10/02","494187","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150519","","北海道フレッシュクリーム３８％　１Ｌ","１Ｌ","1.00","本","1166.00","1.00","本","1166","0","1166","","外税","2329","0","0","0","0","2329","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696762666","1","2025/10/01","02:33","2025/10/03","14:44"
"D","2025/10/02","494187","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150488","","パーチバター（無塩）よつ葉","４５０ｇ","30.00","C/S","918.00","1.00","個","918","0","918","","外税","","","","","","","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696762666","2","2025/10/01","02:33","2025/10/03","14:44"
"D","2025/10/02","494187","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150496","","牛乳","１Ｌ　成分無調整","12.00","C/S","245.00","1.00","本","245","0","245","","外税","","","","","","","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696762666","3","2025/10/01","02:33","2025/10/03","14:44"
"D","2025/10/02","494189","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596592","","みょうが","","0.00","PC","220.00","6.00","PC","1320","105","1425","","外税","6660","532","0","0","0","7192","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696763144","1","2025/10/01","02:40","2025/10/03","14:44"
"D","2025/10/02","494189","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","106397859","","新生姜","","0.00","kg","1500.00","0.36","kg","540","43","583","","外税","","","","","","","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696763144","2","2025/10/01","02:40","2025/10/03","14:44"
